type,branch,year,regulation,semester,subject,unit,exam_type,month,filepath
question_paper,CaI,3rd,R20,2,Cryptography and Network Systems,,regular,june 2024,keerthi.jpg
material,CAI,3rd,R20,1,ML,ML UNIT-1 gpcet.pdf,,,ML UNIT-1 gpcet.pdf
